time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.72072,0.110472,0.454629,0.812798,0.347085,0.999381,-0.025503,-0.013173,-0.020325,-0.050479,-0.02737,-0.039978,-0.129286,-0.07462,0.170812,0.949394,0.173378,0.077032,-8.390508,15.411613,21.532928,-28.774073,-2.657558,2.112607,7.301749
0.73073,0.112978,0.454545,0.811234,0.350036,0.999347,-0.023654,-0.016684,-0.021625,-0.046599,-0.034377,-0.04247,-0.426716,-0.110155,0.143674,0.985504,0.119491,0.095165,-8.390508,15.411613,21.532928,-46.652332,-9.405384,1.277824,7.67676
0.74074,0.115983,0.454391,0.809193,0.353954,0.999286,-0.021072,-0.021096,-0.023184,-0.041185,-0.043153,-0.045504,-0.41511,-0.10889,0.162226,0.982727,0.138696,0.087875,-8.472505,15.060506,21.871836,-60.217552,-9.335819,2.390867,7.401752
0.75075,0.119078,0.454032,0.807765,0.356639,0.999192,-0.019774,-0.025058,-0.024437,-0.03835,-0.051064,-0.047924,-0.403421,-0.080128,0.157402,0.999207,0.152681,0.109373,-8.472505,15.060506,21.871836,-47.069725,-14.970602,-4.704785,7.514255
0.76076,0.122973,0.453269,0.805972,0.360325,0.999049,-0.017916,-0.030293,-0.025732,-0.03431,-0.06149,-0.050447,-0.395001,-0.090807,0.104398,0.979023,0.118186,0.145267,-8.636499,14.884953,21.532928,-62.513203,-16.01408,-8.461307,7.66426
0.77077,0.126983,0.452493,0.804277,0.363681,0.99887,-0.016415,-0.035472,-0.027041,-0.030959,-0.071813,-0.053019,-0.352846,-0.077694,0.047426,0.959394,0.109609,0.212007,-8.636499,14.884953,21.532928,-59.66103,-18.657558,-10.061307,7.401752
0.78078,0.130919,0.451837,0.802696,0.366583,0.998665,-0.015283,-0.040335,-0.028409,-0.028331,-0.08152,-0.055723,-0.3167,-0.061075,0.024475,0.950691,0.121169,0.252949,-8.308511,14.533844,22.295469,-54.374073,-20.67495,-9.852611,7.464254
0.79079,0.134948,0.451248,0.80103,0.36948,0.998427,-0.01416,-0.045254,-0.029902,-0.025679,-0.091339,-0.058706,-0.293034,-0.056126,0.005434,0.940136,0.123034,0.278935,-8.308511,14.533844,22.295469,-55.069725,-21.996689,-9.226524,7.489254
0.8008,0.138809,0.450768,0.799554,0.371824,0.998178,-0.013472,-0.049736,-0.031384,-0.023896,-0.100304,-0.061662,-0.281706,-0.060626,0.036359,0.93458,0.15007,0.259118,-8.226513,14.270514,22.464922,-48.182766,-23.457558,-9.296089,7.139244
0.81081,0.142154,0.450317,0.79861,0.373135,0.997956,-0.013587,-0.053283,-0.032547,-0.02379,-0.107439,-0.063925,-0.275059,-0.034179,0.044737,0.954394,0.168903,0.266596,-8.226513,14.270514,22.464922,-33.713203,-23.318428,-11.17435,7.264247
